areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,17/07/2020,582
K02000001,United Kingdom,overview,18/07/2020,505
K02000001,United Kingdom,overview,19/07/2020,448
K02000001,United Kingdom,overview,20/07/2020,830
K02000001,United Kingdom,overview,21/07/2020,788
K02000001,United Kingdom,overview,22/07/2020,816
K02000001,United Kingdom,overview,23/07/2020,808
K02000001,United Kingdom,overview,24/07/2020,774
K02000001,United Kingdom,overview,25/07/2020,530
K02000001,United Kingdom,overview,26/07/2020,563
K02000001,United Kingdom,overview,27/07/2020,869
K02000001,United Kingdom,overview,28/07/2020,856
K02000001,United Kingdom,overview,29/07/2020,1062
K02000001,United Kingdom,overview,30/07/2020,946
K02000001,United Kingdom,overview,31/07/2020,697
K02000001,United Kingdom,overview,01/08/2020,559
K02000001,United Kingdom,overview,02/08/2020,564
K02000001,United Kingdom,overview,03/08/2020,1060
K02000001,United Kingdom,overview,04/08/2020,1065
K02000001,United Kingdom,overview,05/08/2020,1092
K02000001,United Kingdom,overview,06/08/2020,1105
K02000001,United Kingdom,overview,07/08/2020,973
K02000001,United Kingdom,overview,08/08/2020,710
K02000001,United Kingdom,overview,09/08/2020,627
K02000001,United Kingdom,overview,10/08/2020,1499
K02000001,United Kingdom,overview,11/08/2020,1378
K02000001,United Kingdom,overview,12/08/2020,1242
K02000001,United Kingdom,overview,13/08/2020,1156
K02000001,United Kingdom,overview,14/08/2020,1185
K02000001,United Kingdom,overview,15/08/2020,714
K02000001,United Kingdom,overview,16/08/2020,602
K02000001,United Kingdom,overview,17/08/2020,1298
K02000001,United Kingdom,overview,18/08/2020,1116
K02000001,United Kingdom,overview,19/08/2020,1282
K02000001,United Kingdom,overview,20/08/2020,1498
K02000001,United Kingdom,overview,21/08/2020,1218
K02000001,United Kingdom,overview,22/08/2020,842
K02000001,United Kingdom,overview,23/08/2020,831
K02000001,United Kingdom,overview,24/08/2020,1301
K02000001,United Kingdom,overview,25/08/2020,1270
K02000001,United Kingdom,overview,26/08/2020,1388
K02000001,United Kingdom,overview,27/08/2020,1591
K02000001,United Kingdom,overview,28/08/2020,1632
K02000001,United Kingdom,overview,29/08/2020,1230
K02000001,United Kingdom,overview,30/08/2020,1171
K02000001,United Kingdom,overview,31/08/2020,1513
K02000001,United Kingdom,overview,01/09/2020,2288
K02000001,United Kingdom,overview,02/09/2020,3077
K02000001,United Kingdom,overview,03/09/2020,3152
K02000001,United Kingdom,overview,04/09/2020,3092
K02000001,United Kingdom,overview,05/09/2020,2551
K02000001,United Kingdom,overview,06/09/2020,2465
K02000001,United Kingdom,overview,07/09/2020,3931
K02000001,United Kingdom,overview,08/09/2020,3370
K02000001,United Kingdom,overview,09/09/2020,3366
K02000001,United Kingdom,overview,10/09/2020,3628
K02000001,United Kingdom,overview,11/09/2020,3324
K02000001,United Kingdom,overview,12/09/2020,2670
K02000001,United Kingdom,overview,13/09/2020,2154
K02000001,United Kingdom,overview,14/09/2020,3428
K02000001,United Kingdom,overview,15/09/2020,3552
K02000001,United Kingdom,overview,16/09/2020,4399
K02000001,United Kingdom,overview,17/09/2020,4676
K02000001,United Kingdom,overview,18/09/2020,4973
K02000001,United Kingdom,overview,19/09/2020,4889
K02000001,United Kingdom,overview,20/09/2020,5340
K02000001,United Kingdom,overview,21/09/2020,5627
K02000001,United Kingdom,overview,22/09/2020,6441
K02000001,United Kingdom,overview,23/09/2020,7096
K02000001,United Kingdom,overview,24/09/2020,7682
K02000001,United Kingdom,overview,25/09/2020,7318
K02000001,United Kingdom,overview,26/09/2020,6809
K02000001,United Kingdom,overview,27/09/2020,7023
K02000001,United Kingdom,overview,28/09/2020,9983
K02000001,United Kingdom,overview,29/09/2020,10368
K02000001,United Kingdom,overview,30/09/2020,12717
K02000001,United Kingdom,overview,01/10/2020,13358
K02000001,United Kingdom,overview,02/10/2020,13855
K02000001,United Kingdom,overview,03/10/2020,11667
K02000001,United Kingdom,overview,04/10/2020,11954
K02000001,United Kingdom,overview,05/10/2020,16754
K02000001,United Kingdom,overview,06/10/2020,17251
K02000001,United Kingdom,overview,07/10/2020,18576
K02000001,United Kingdom,overview,08/10/2020,18427
K02000001,United Kingdom,overview,09/10/2020,15903
K02000001,United Kingdom,overview,10/10/2020,12652
K02000001,United Kingdom,overview,11/10/2020,12213
K02000001,United Kingdom,overview,12/10/2020,19711
K02000001,United Kingdom,overview,13/10/2020,19137
K02000001,United Kingdom,overview,14/10/2020,19934
K02000001,United Kingdom,overview,15/10/2020,18640
K02000001,United Kingdom,overview,16/10/2020,17938
K02000001,United Kingdom,overview,17/10/2020,14888
K02000001,United Kingdom,overview,18/10/2020,14331
