,,Chatham Roadside,
Date,Time,PM10 Kent (Hourly measured),Status
06/03/2017,09:00:00,17.826,V ugm-3 (Ref.eq)
06/03/2017,10:00:00,25.141,V ugm-3 (Ref.eq)
06/03/2017,11:00:00,31.034,V ugm-3 (Ref.eq)
06/03/2017,12:00:00,25.604,V ugm-3 (Ref.eq)
06/03/2017,13:00:00,23.72,V ugm-3 (Ref.eq)
06/03/2017,14:00:00,22.31,V ugm-3 (Ref.eq)
06/03/2017,15:00:00,20.416,V ugm-3 (Ref.eq)
06/03/2017,16:00:00,30.087,V ugm-3 (Ref.eq)
06/03/2017,17:00:00,29.614,V ugm-3 (Ref.eq)
06/03/2017,18:00:00,33.16,V ugm-3 (Ref.eq)
06/03/2017,19:00:00,33.624,V ugm-3 (Ref.eq)
06/03/2017,20:00:00,35.276,V ugm-3 (Ref.eq)
06/03/2017,21:00:00,40.938,V ugm-3 (Ref.eq)
06/03/2017,22:00:00,26.551,V ugm-3 (Ref.eq)
06/03/2017,23:00:00,24.426,V ugm-3 (Ref.eq)
06/03/2017,24:00:00,18.058,V ugm-3 (Ref.eq)
07/03/2017,01:00:00,17.353,V ugm-3 (Ref.eq)
07/03/2017,02:00:00,20.657,V ugm-3 (Ref.eq)
07/03/2017,03:00:00,18.058,V ugm-3 (Ref.eq)
07/03/2017,04:00:00,10.744,V ugm-3 (Ref.eq)
07/03/2017,05:00:00,11.691,V ugm-3 (Ref.eq)
07/03/2017,06:00:00,19.479,V ugm-3 (Ref.eq)
07/03/2017,07:00:00,22.31,V ugm-3 (Ref.eq)
07/03/2017,08:00:00,26.793,V ugm-3 (Ref.eq)
07/03/2017,09:00:00,20.657,V ugm-3 (Ref.eq)
07/03/2017,10:00:00,25.141,V ugm-3 (Ref.eq)
07/03/2017,11:00:00,28.909,V ugm-3 (Ref.eq)
07/03/2017,12:00:00,21.836,V ugm-3 (Ref.eq)
07/03/2017,13:00:00,28.203,V ugm-3 (Ref.eq)
07/03/2017,14:00:00,23.962,V ugm-3 (Ref.eq)
07/03/2017,15:00:00,23.247,V ugm-3 (Ref.eq)
07/03/2017,16:00:00,30.802,V ugm-3 (Ref.eq)
07/03/2017,17:00:00,26.078,V ugm-3 (Ref.eq)
07/03/2017,18:00:00,25.604,V ugm-3 (Ref.eq)
07/03/2017,19:00:00,27.257,V ugm-3 (Ref.eq)
07/03/2017,20:00:00,19.942,V ugm-3 (Ref.eq)
07/03/2017,21:00:00,21.836,V ugm-3 (Ref.eq)
07/03/2017,22:00:00,21.595,V ugm-3 (Ref.eq)
07/03/2017,23:00:00,24.667,V ugm-3 (Ref.eq)
07/03/2017,24:00:00,23.488,V ugm-3 (Ref.eq)
08/03/2017,01:00:00,18.532,V ugm-3 (Ref.eq)
08/03/2017,02:00:00,10.744,V ugm-3 (Ref.eq)
08/03/2017,03:00:00,7.913,V ugm-3 (Ref.eq)
08/03/2017,04:00:00,5.324,V ugm-3 (Ref.eq)
08/03/2017,05:00:00,4.85,V ugm-3 (Ref.eq)
08/03/2017,06:00:00,3.198,V ugm-3 (Ref.eq)
08/03/2017,07:00:00,2.966,V ugm-3 (Ref.eq)
08/03/2017,08:00:00,7.44,V ugm-3 (Ref.eq)
08/03/2017,09:00:00,6.976,V ugm-3 (Ref.eq)
08/03/2017,10:00:00,10.039,V ugm-3 (Ref.eq)
08/03/2017,11:00:00,11.459,V ugm-3 (Ref.eq)
08/03/2017,12:00:00,13.102,V ugm-3 (Ref.eq)
08/03/2017,13:00:00,9.092,V ugm-3 (Ref.eq)
08/03/2017,14:00:00,12.87,V ugm-3 (Ref.eq)
08/03/2017,15:00:00,14.522,V ugm-3 (Ref.eq)
08/03/2017,16:00:00,22.541,V ugm-3 (Ref.eq)
08/03/2017,17:00:00,35.276,V ugm-3 (Ref.eq)
08/03/2017,18:00:00,38.822,V ugm-3 (Ref.eq)
08/03/2017,19:00:00,40.706,V ugm-3 (Ref.eq)
08/03/2017,20:00:00,32.918,V ugm-3 (Ref.eq)
08/03/2017,21:00:00,32.445,V ugm-3 (Ref.eq)
08/03/2017,22:00:00,20.889,V ugm-3 (Ref.eq)
08/03/2017,23:00:00,21.836,V ugm-3 (Ref.eq)
08/03/2017,24:00:00,18.058,V ugm-3 (Ref.eq)
09/03/2017,01:00:00,14.754,V ugm-3 (Ref.eq)
09/03/2017,02:00:00,8.86,V ugm-3 (Ref.eq)
09/03/2017,03:00:00,16.174,V ugm-3 (Ref.eq)
09/03/2017,04:00:00,6.029,V ugm-3 (Ref.eq)
09/03/2017,05:00:00,12.638,V ugm-3 (Ref.eq)
09/03/2017,06:00:00,11.459,V ugm-3 (Ref.eq)
09/03/2017,07:00:00,15.469,V ugm-3 (Ref.eq)
09/03/2017,08:00:00,16.648,V ugm-3 (Ref.eq)
09/03/2017,09:00:00,22.773,V ugm-3 (Ref.eq)
09/03/2017,10:00:00,16.648,V ugm-3 (Ref.eq)
09/03/2017,11:00:00,20.184,V ugm-3 (Ref.eq)
09/03/2017,12:00:00,23.962,V ugm-3 (Ref.eq)
09/03/2017,13:00:00,14.522,V ugm-3 (Ref.eq)
09/03/2017,14:00:00,14.522,V ugm-3 (Ref.eq)
09/03/2017,15:00:00,22.068,V ugm-3 (Ref.eq)
09/03/2017,16:00:00,21.836,V ugm-3 (Ref.eq)
09/03/2017,17:00:00,22.773,V ugm-3 (Ref.eq)
09/03/2017,18:00:00,13.575,V ugm-3 (Ref.eq)
09/03/2017,19:00:00,25.141,V ugm-3 (Ref.eq)
09/03/2017,20:00:00,27.498,V ugm-3 (Ref.eq)
09/03/2017,21:00:00,30.329,V ugm-3 (Ref.eq)
09/03/2017,22:00:00,18.764,V ugm-3 (Ref.eq)
09/03/2017,23:00:00,21.836,V ugm-3 (Ref.eq)
09/03/2017,24:00:00,12.87,V ugm-3 (Ref.eq)
10/03/2017,01:00:00,14.995,V ugm-3 (Ref.eq)
10/03/2017,02:00:00,14.754,V ugm-3 (Ref.eq)
10/03/2017,03:00:00,16.88,V ugm-3 (Ref.eq)
10/03/2017,04:00:00,25.604,V ugm-3 (Ref.eq)
10/03/2017,05:00:00,18.3,V ugm-3 (Ref.eq)
