Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Fife,2019-20,19750,22038,Economic Development,Economic Development & Tourism,20
Fife,2019-20,37917,42311,Education,Pre-school,20
Fife,2019-20,150408,167836,Education,Primary,20
Fife,2019-20,138352,154383,Education,Secondary,20
Fife,2019-20,2889,3224,Environmental Services,Street cleaning,20
Fife,2019-20,6094,6800,Environmental Services,Trading Standards & Env. Health,20
Fife,2019-20,12931,14429,Environmental Services,Waste Collection,20
Fife,2019-20,15953,17802,Environmental Services,Waste Disposal,20
Fife,2019-20,20808,23219,Looked After Children,Community,20
Fife,2019-20,27957,31196,Looked After Children,Residential,20
Fife,2019-20,4615,5150,Planning,Planning,20
Fife,2019-20,25638,28609,Roads,Roads,20
Fife,2019-20,59495,66389,Support Services,Support Services,20
Fife,2019-20,1046128,1167345,Total General Fund,Total General Fund,20
Fife,2020-21,67908.5458498448,74056,Adult Social Care,Care Homes for Older People,21
Fife,2020-21,41058,44775,Adult Social Care,Homecare,21
Fife,2020-21,152925.454150155,166770,Adult Social Care,Other Spend On Over 18s,21
Fife,2020-21,6454,7038,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
Fife,2020-21,5630,6140,Culture & Leisure,Libraries,21
Fife,2020-21,905,987,Culture & Leisure,Museums & Galleries,21
Fife,2020-21,9230,10066,Culture & Leisure,Sports Facilities,21
Fife,2020-21,27184,29645,Economic Development,Economic Development & Tourism,21
Fife,2020-21,48164,52524,Education,Pre-school,21
Fife,2020-21,160664,175209,Education,Primary,21
Fife,2020-21,150949,164615,Education,Secondary,21
Fife,2020-21,4507,4915,Environmental Services,Street cleaning,21
Fife,2020-21,5648,6159,Environmental Services,Trading Standards & Env. Health,21
Fife,2020-21,12097,13192,Environmental Services,Waste Collection,21
Fife,2020-21,17200,18757,Environmental Services,Waste Disposal,21
Fife,2020-21,19945,21751,Looked After Children,Community,21
Fife,2020-21,17096,18644,Looked After Children,Residential,21
Fife,2020-21,4638,5058,Planning,Planning,21
Fife,2020-21,21445,23386,Roads,Roads,21
Fife,2020-21,48915,53343,Support Services,Support Services,21
Fife,2020-21,1085698,1183987,Total General Fund,Total General Fund,21
Fife,2021-22,68083,72560,Adult Social Care,Care Homes for Older People,22
Fife,2021-22,43524,46386,Adult Social Care,Homecare,22
Fife,2021-22,166479,177427,Adult Social Care,Other Spend On Over 18s,22
Fife,2021-22,7752,8262,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
Fife,2021-22,5955,6347,Culture & Leisure,Libraries,22
Fife,2021-22,1093,1165,Culture & Leisure,Museums & Galleries,22
Fife,2021-22,9038,9632,Culture & Leisure,Sports Facilities,22
Fife,2021-22,24159,25748,Economic Development,Economic Development & Tourism,22
Fife,2021-22,56661,60387,Education,Pre-school,22
Fife,2021-22,170788,182020,Education,Primary,22
Fife,2021-22,156976,167299,Education,Secondary,22
Fife,2021-22,5454,5813,Environmental Services,Street cleaning,22
Fife,2021-22,5853,6238,Environmental Services,Trading Standards & Env. Health,22
Fife,2021-22,14170,15102,Environmental Services,Waste Collection,22
Fife,2021-22,17685,18848,Environmental Services,Waste Disposal,22
Fife,2021-22,19968,21281,Looked After Children,Community,22
Fife,2021-22,13100,13962,Looked After Children,Residential,22
Fife,2021-22,4793,5108,Planning,Planning,22
Fife,2021-22,27589,29403,Roads,Roads,22
Fife,2021-22,45912,48931,Support Services,Support Services,22
Fife,2021-22,1140670,1215686,Total General Fund,Total General Fund,22
Fife,2022-23,69483,69483,Adult Social Care,Care Homes for Older People,23
Fife,2022-23,50221,50221,Adult Social Care,Homecare,23
Fife,2022-23,181486,181486,Adult Social Care,Other Spend On Over 18s,23
Fife,2022-23,10232,10232,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
Fife,2022-23,5955,5955,Culture & Leisure,Libraries,23
Fife,2022-23,1051,1051,Culture & Leisure,Museums & Galleries,23
Fife,2022-23,9508,9508,Culture & Leisure,Sports Facilities,23
Fife,2022-23,27951,27951,Economic Development,Economic Development & Tourism,23
Fife,2022-23,63493,63493,Education,Pre-school,23
Fife,2022-23,183093,183093,Education,Primary,23
Fife,2022-23,175015,175015,Education,Secondary,23
Fife,2022-23,6420,6420,Environmental Services,Street cleaning,23
Fife,2022-23,6962,6962,Environmental Services,Trading Standards & Env. Health,23
Fife,2022-23,15851,15851,Environmental Services,Waste Collection,23
Fife,2022-23,17522,17522,Environmental Services,Waste Disposal,23
Fife,2022-23,19975,19975,Looked After Children,Community,23
Fife,2022-23,12583,12583,Looked After Children,Residential,23
Fife,2022-23,5476,5476,Planning,Planning,23
Fife,2022-23,30322,30322,Roads,Roads,23
Fife,2022-23,47743,47743,Support Services,Support Services,23
Fife,2022-23,1221624,1221624,Total General Fund,Total General Fund,23
Glasgow City,2010-11,89524,116787,Adult Social Care,Care Homes for Older People,11
Glasgow City,2010-11,67845,88506,Adult Social Care,Homecare,11
Glasgow City,2010-11,188626,246068,Adult Social Care,Other Spend On Over 18s,11
Glasgow City,2010-11,28244,36845,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Glasgow City,2010-11,13975,18231,Culture & Leisure,Libraries,11
Glasgow City,2010-11,13483,17589,Culture & Leisure,Museums & Galleries,11
Glasgow City,2010-11,33970,44315,Culture & Leisure,Sports Facilities,11
Glasgow City,2010-11,105125,137138,Economic Development,Economic Development & Tourism,11
Glasgow City,2010-11,47347,61765,Education,Pre-school,11
Glasgow City,2010-11,172313,224787,Education,Primary,11
Glasgow City,2010-11,178991,233499,Education,Secondary,11
Glasgow City,2010-11,17198,22435,Environmental Services,Street cleaning,11
Glasgow City,2010-11,11496,14997,Environmental Services,Trading Standards & Env. Health,11
Glasgow City,2010-11,17702,23093,Environmental Services,Waste Collection,11
Glasgow City,2010-11,34930,45567,Environmental Services,Waste Disposal,11
Glasgow City,2010-11,34106,44492,Looked After Children,Community,11
Glasgow City,2010-11,42987,56078,Looked After Children,Residential,11
Glasgow City,2010-11,13797,17999,Planning,Planning,11
Glasgow City,2010-11,60332,78705,Roads,Roads,11
Glasgow City,2010-11,97147,126731,Support Services,Support Services,11
Glasgow City,2010-11,2119048,2764357,Total General Fund,Total General Fund,11
Glasgow City,2011-12,94286,120868,Adult Social Care,Care Homes for Older People,12
Glasgow City,2011-12,62384,79972,Adult Social Care,Homecare,12
Glasgow City,2011-12,195250,250298,Adult Social Care,Other Spend On Over 18s,12
Glasgow City,2011-12,25499,32688,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
Glasgow City,2011-12,15027,19264,Culture & Leisure,Libraries,12
Glasgow City,2011-12,17537,22481,Culture & Leisure,Museums & Galleries,12
Glasgow City,2011-12,30472,39063,Culture & Leisure,Sports Facilities,12
Glasgow City,2011-12,78448,100565,Economic Development,Economic Development & Tourism,12
Glasgow City,2011-12,46305,59360,Education,Pre-school,12
Glasgow City,2011-12,169496,217283,Education,Primary,12
Glasgow City,2011-12,168805,216397,Education,Secondary,12
Glasgow City,2011-12,17759,22766,Environmental Services,Street cleaning,12
Glasgow City,2011-12,10830,13883,Environmental Services,Trading Standards & Env. Health,12
Glasgow City,2011-12,18072,23167,Environmental Services,Waste Collection,12
Glasgow City,2011-12,37756,48401,Environmental Services,Waste Disposal,12
Glasgow City,2011-12,37595,48194,Looked After Children,Community,12
Glasgow City,2011-12,46234,59269,Looked After Children,Residential,12
Glasgow City,2011-12,8514,10914,Planning,Planning,12
Glasgow City,2011-12,47818,61300,Roads,Roads,12
Glasgow City,2011-12,93768,120204,Support Services,Support Services,12
Glasgow City,2011-12,2040233,2615445,Total General Fund,Total General Fund,12
Glasgow City,2012-13,93506,117708,Adult Social Care,Care Homes for Older People,13
Glasgow City,2012-13,63798,80311,Adult Social Care,Homecare,13
Glasgow City,2012-13,198674,250097,Adult Social Care,Other Spend On Over 18s,13
Glasgow City,2012-13,25106,31604,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
Glasgow City,2012-13,13523,17023,Culture & Leisure,Libraries,13
Glasgow City,2012-13,16422,20672,Culture & Leisure,Museums & Galleries,13
Glasgow City,2012-13,32016,40303,Culture & Leisure,Sports Facilities,13
Glasgow City,2012-13,78772,99160,Economic Development,Economic Development & Tourism,13
Glasgow City,2012-13,47127,59325,Education,Pre-school,13
Glasgow City,2012-13,170247,214312,Education,Primary,13
Glasgow City,2012-13,169386,213228,Education,Secondary,13
Glasgow City,2012-13,17200,21652,Environmental Services,Street cleaning,13
Glasgow City,2012-13,11281,14201,Environmental Services,Trading Standards & Env. Health,13
Glasgow City,2012-13,18163,22864,Environmental Services,Waste Collection,13
Glasgow City,2012-13,37540,47256,Environmental Services,Waste Disposal,13
Glasgow City,2012-13,42767,53836,Looked After Children,Community,13
Glasgow City,2012-13,47120,59316,Looked After Children,Residential,13
Glasgow City,2012-13,38187,48071,Planning,Planning,13
Glasgow City,2012-13,32885,41397,Roads,Roads,13
Glasgow City,2012-13,97852,123179,Support Services,Support Services,13
Glasgow City,2012-13,2053386,2584862,Total General Fund,Total General Fund,13
Glasgow City,2013-14,81668,100867,Adult Social Care,Care Homes for Older People,14
Glasgow City,2013-14,61140,75513,Adult Social Care,Homecare,14
Glasgow City,2013-14,212867,262908,Adult Social Care,Other Spend On Over 18s,14
Glasgow City,2013-14,23653,29213,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
Glasgow City,2013-14,12054,14888,Culture & Leisure,Libraries,14
Glasgow City,2013-14,16588,20488,Culture & Leisure,Museums & Galleries,14
Glasgow City,2013-14,39564,48865,Culture & Leisure,Sports Facilities,14
Glasgow City,2013-14,77249,95409,Economic Development,Economic Development & Tourism,14
Glasgow City,2013-14,47009,58060,Education,Pre-school,14
Glasgow City,2013-14,166124,205176,Education,Primary,14
Glasgow City,2013-14,163650,202121,Education,Secondary,14
Glasgow City,2013-14,15959,19711,Environmental Services,Street cleaning,14
Glasgow City,2013-14,18334,22644,Environmental Services,Trading Standards & Env. Health,14
Glasgow City,2013-14,23887,29502,Environmental Services,Waste Collection,14
Glasgow City,2013-14,33807,41754,Environmental Services,Waste Disposal,14
Glasgow City,2013-14,41102,50764,Looked After Children,Community,14
Glasgow City,2013-14,45646,56376,Looked After Children,Residential,14
Glasgow City,2013-14,7448,9199,Planning,Planning,14
Glasgow City,2013-14,32774,40479,Roads,Roads,14
Glasgow City,2013-14,92003,113631,Support Services,Support Services,14
Glasgow City,2013-14,1999597,2469663,Total General Fund,Total General Fund,14
Glasgow City,2014-15,86801,105918,Adult Social Care,Care Homes for Older People,15
Glasgow City,2014-15,56512,68958,Adult Social Care,Homecare,15
Glasgow City,2014-15,209792,255996,Adult Social Care,Other Spend On Over 18s,15
Glasgow City,2014-15,27154,33134,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,15
Glasgow City,2014-15,13065,15942,Culture & Leisure,Libraries,15
Glasgow City,2014-15,16874,20590,Culture & Leisure,Museums & Galleries,15
Glasgow City,2014-15,27587,33663,Culture & Leisure,Sports Facilities,15
Glasgow City,2014-15,77654,94756,Economic Development,Economic Development & Tourism,15
Glasgow City,2014-15,48896,59665,Education,Pre-school,15
Glasgow City,2014-15,166611,203305,Education,Primary,15
Glasgow City,2014-15,165461,201902,Education,Secondary,15
Glasgow City,2014-15,15840,19329,Environmental Services,Street cleaning,15
Glasgow City,2014-15,16935,20665,Environmental Services,Trading Standards & Env. Health,15
Glasgow City,2014-15,24108,29417,Environmental Services,Waste Collection,15
Glasgow City,2014-15,33773,41211,Environmental Services,Waste Disposal,15
Glasgow City,2014-15,42783,52205,Looked After Children,Community,15
Glasgow City,2014-15,48568,59264,Looked After Children,Residential,15
Glasgow City,2014-15,7038,8588,Planning,Planning,15
Glasgow City,2014-15,25560,31189,Roads,Roads,15
Glasgow City,2014-15,86986,106144,Support Services,Support Services,15
Glasgow City,2014-15,2043512,2493569,Total General Fund,Total General Fund,15
Glasgow City,2015-16,90844,110059,Adult Social Care,Care Homes for Older People,16
Glasgow City,2015-16,57048,69115,Adult Social Care,Homecare,16
Glasgow City,2015-16,202592,245444,Adult Social Care,Other Spend On Over 18s,16
Glasgow City,2015-16,23463,28426,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,16
Glasgow City,2015-16,13828,16753,Culture & Leisure,Libraries,16
Glasgow City,2015-16,16849,20413,Culture & Leisure,Museums & Galleries,16
Glasgow City,2015-16,28968,35095,Culture & Leisure,Sports Facilities,16
Glasgow City,2015-16,56359,68280,Economic Development,Economic Development & Tourism,16
Glasgow City,2015-16,51059,61859,Education,Pre-school,16
Glasgow City,2015-16,173662,210395,Education,Primary,16
Glasgow City,2015-16,166707,201969,Education,Secondary,16
Glasgow City,2015-16,16044,19438,Environmental Services,Street cleaning,16
Glasgow City,2015-16,17728,21478,Environmental Services,Trading Standards & Env. Health,16
Glasgow City,2015-16,24581,29780,Environmental Services,Waste Collection,16
Glasgow City,2015-16,36763,44539,Environmental Services,Waste Disposal,16
Glasgow City,2015-16,43595,52816,Looked After Children,Community,16
Glasgow City,2015-16,51722,62662,Looked After Children,Residential,16
Glasgow City,2015-16,7694,9321,Planning,Planning,16
Glasgow City,2015-16,24446,29617,Roads,Roads,16
Glasgow City,2015-16,87208,105654,Support Services,Support Services,16
Glasgow City,2015-16,2012504,2438190,Total General Fund,Total General Fund,16
Glasgow City,2016-17,96238,114001,Adult Social Care,Care Homes for Older People,17
Glasgow City,2016-17,61031,72296,Adult Social Care,Homecare,17
Glasgow City,2016-17,220073,260693,Adult Social Care,Other Spend On Over 18s,17
Glasgow City,2016-17,22174,26267,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
Glasgow City,2016-17,11642,13791,Culture & Leisure,Libraries,17
Glasgow City,2016-17,16315,19326,Culture & Leisure,Museums & Galleries,17
Glasgow City,2016-17,28935,34276,Culture & Leisure,Sports Facilities,17
Glasgow City,2016-17,52633,62348,Economic Development,Economic Development & Tourism,17
Glasgow City,2016-17,61208,72506,Education,Pre-school,17
Glasgow City,2016-17,180514,213833,Education,Primary,17
Glasgow City,2016-17,171232,202838,Education,Secondary,17
Glasgow City,2016-17,16189,19177,Environmental Services,Street cleaning,17
Glasgow City,2016-17,17236,20417,Environmental Services,Trading Standards & Env. Health,17
Glasgow City,2016-17,26758,31697,Environmental Services,Waste Collection,17
Glasgow City,2016-17,39531,46828,Environmental Services,Waste Disposal,17
Glasgow City,2016-17,47399,56148,Looked After Children,Community,17
Glasgow City,2016-17,55616,65881,Looked After Children,Residential,17
Glasgow City,2016-17,7680,9098,Planning,Planning,17
Glasgow City,2016-17,30419,36034,Roads,Roads,17
Glasgow City,2016-17,87412,103546,Support Services,Support Services,17
Glasgow City,2016-17,2021747,2394916,Total General Fund,Total General Fund,17
Glasgow City,2017-18,97609,113842,Adult Social Care,Care Homes for Older People,18
Glasgow City,2017-18,56747,66185,Adult Social Care,Homecare,18
Glasgow City,2017-18,220880,257615,Adult Social Care,Other Spend On Over 18s,18
Glasgow City,2017-18,22205,25898,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
Glasgow City,2017-18,10892,12703,Culture & Leisure,Libraries,18
Glasgow City,2017-18,16341,19059,Culture & Leisure,Museums & Galleries,18
Glasgow City,2017-18,28726,33503,Culture & Leisure,Sports Facilities,18
Glasgow City,2017-18,50804,59253,Economic Development,Economic Development & Tourism,18
Glasgow City,2017-18,65034,75850,Education,Pre-school,18
Glasgow City,2017-18,194444,226782,Education,Primary,18
Glasgow City,2017-18,171549,200080,Education,Secondary,18
Glasgow City,2017-18,22665,26434,Environmental Services,Street cleaning,18
Glasgow City,2017-18,15699,18310,Environmental Services,Trading Standards & Env. Health,18
Glasgow City,2017-18,29622,34548,Environmental Services,Waste Collection,18
Glasgow City,2017-18,36987,43138,Environmental Services,Waste Disposal,18
Glasgow City,2017-18,45586,53167,Looked After Children,Community,18
Glasgow City,2017-18,54412,63461,Looked After Children,Residential,18
Glasgow City,2017-18,8222,9589,Planning,Planning,18
Glasgow City,2017-18,28616,33375,Roads,Roads,18
Glasgow City,2017-18,87575,102140,Support Services,Support Services,18
Glasgow City,2017-18,2071410,2415909,Total General Fund,Total General Fund,18
Glasgow City,2018-19,101389,115808,Adult Social Care,Care Homes for Older People,19
Glasgow City,2018-19,72497,82807,Adult Social Care,Homecare,19
Glasgow City,2018-19,236781,270455,Adult Social Care,Other Spend On Over 18s,19
Glasgow City,2018-19,23088,26372,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,19
Glasgow City,2018-19,11390,13010,Culture & Leisure,Libraries,19
Glasgow City,2018-19,15992,18266,Culture & Leisure,Museums & Galleries,19
Glasgow City,2018-19,29604,33814,Culture & Leisure,Sports Facilities,19
Glasgow City,2018-19,53882,61545,Economic Development,Economic Development & Tourism,19
Glasgow City,2018-19,75950,86751,Education,Pre-school,19
Glasgow City,2018-19,213941,244367,Education,Primary,19
Glasgow City,2018-19,209010,238735,Education,Secondary,19
Glasgow City,2018-19,19310,22056,Environmental Services,Street cleaning,19
Glasgow City,2018-19,14789,16892,Environmental Services,Trading Standards & Env. Health,19
Glasgow City,2018-19,35040,40023,Environmental Services,Waste Collection,19
Glasgow City,2018-19,37892,43281,Environmental Services,Waste Disposal,19
Glasgow City,2018-19,41005,46837,Looked After Children,Community,19
Glasgow City,2018-19,48022,54852,Looked After Children,Residential,19
Glasgow City,2018-19,9629,10998,Planning,Planning,19
Glasgow City,2018-19,31081,35501,Roads,Roads,19
Glasgow City,2018-19,95748,109365,Support Services,Support Services,19
Glasgow City,2018-19,2168546,2476951,Total General Fund,Total General Fund,19
Glasgow City,2019-20,114205.942774943,127439,Adult Social Care,Care Homes for Older People,20
Glasgow City,2019-20,82809,92404,Adult Social Care,Homecare,20
Glasgow City,2019-20,231685.302049445,258531,Adult Social Care,Other Spend On Over 18s,20
Glasgow City,2019-20,24383.88136,27209,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,20
Glasgow City,2019-20,11961.2941630509,13347,Culture & Leisure,Libraries,20
Glasgow City,2019-20,16583.41825,18505,Culture & Leisure,Museums & Galleries,20
Glasgow City,2019-20,33625.55202,37522,Culture & Leisure,Sports Facilities,20
Glasgow City,2019-20,53895.96913,60141,Economic Development,Economic Development & Tourism,20
Glasgow City,2019-20,97937.16361,109285,Education,Pre-school,20
Glasgow City,2019-20,230893.64109,257648,Education,Primary,20
Glasgow City,2019-20,227399.81823,253749,Education,Secondary,20
Glasgow City,2019-20,19263.8754,21496,Environmental Services,Street cleaning,20
Glasgow City,2019-20,13118.63269976,14639,Environmental Services,Trading Standards & Env. Health,20
Glasgow City,2019-20,36276.20117,40480,Environmental Services,Waste Collection,20
Glasgow City,2019-20,40864.75807,45600,Environmental Services,Waste Disposal,20
Glasgow City,2019-20,39751,44357,Looked After Children,Community,20
Glasgow City,2019-20,45816,51125,Looked After Children,Residential,20
Glasgow City,2019-20,8837,9861,Planning,Planning,20
Glasgow City,2019-20,29339.09448,32739,Roads,Roads,20
Glasgow City,2019-20,100912.571288445,112606,Support Services,Support Services,20
Glasgow City,2019-20,2692985.25758,3005027,Total General Fund,Total General Fund,20
Glasgow City,2020-21,119182.846404509,129973,Adult Social Care,Care Homes for Older People,21
Glasgow City,2020-21,80092,87343,Adult Social Care,Homecare,21
Glasgow City,2020-21,256168.153595491,279359,Adult Social Care,Other Spend On Over 18s,21
Glasgow City,2020-21,20693,22566,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,21
Glasgow City,2020-21,13602,14833,Culture & Leisure,Libraries,21
Glasgow City,2020-21,17514,19100,Culture & Leisure,Museums & Galleries,21
Glasgow City,2020-21,46705,50933,Culture & Leisure,Sports Facilities,21
Glasgow City,2020-21,57252,62435,Economic Development,Economic Development & Tourism,21
Glasgow City,2020-21,113067,123303,Education,Pre-school,21
Glasgow City,2020-21,245180,267376,Education,Primary,21
Glasgow City,2020-21,238976,260611,Education,Secondary,21
Glasgow City,2020-21,16494,17987,Environmental Services,Street cleaning,21
Glasgow City,2020-21,10843,11825,Environmental Services,Trading Standards & Env. Health,21
Glasgow City,2020-21,38310,41778,Environmental Services,Waste Collection,21
Glasgow City,2020-21,41614,45381,Environmental Services,Waste Disposal,21
Glasgow City,2020-21,39542,43122,Looked After Children,Community,21
Glasgow City,2020-21,47465,51762,Looked After Children,Residential,21
Glasgow City,2020-21,8366,9123,Planning,Planning,21
Glasgow City,2020-21,29587,32266,Roads,Roads,21
Glasgow City,2020-21,123505,134686,Support Services,Support Services,21
Glasgow City,2020-21,2328682,2539499,Total General Fund,Total General Fund,21
Glasgow City,2021-22,114908,122465,Adult Social Care,Care Homes for Older People,22
Glasgow City,2021-22,83768,89277,Adult Social Care,Homecare,22
Glasgow City,2021-22,276446,294626,Adult Social Care,Other Spend On Over 18s,22
Glasgow City,2021-22,15758,16794,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,22
Glasgow City,2021-22,14389,15335,Culture & Leisure,Libraries,22
Glasgow City,2021-22,16692,17790,Culture & Leisure,Museums & Galleries,22
Glasgow City,2021-22,43420,46276,Culture & Leisure,Sports Facilities,22
Glasgow City,2021-22,82955,88411,Economic Development,Economic Development & Tourism,22
Glasgow City,2021-22,122200,130236,Education,Pre-school,22
Glasgow City,2021-22,259590,276662,Education,Primary,22
Glasgow City,2021-22,249320,265716,Education,Secondary,22
Glasgow City,2021-22,13700,14601,Environmental Services,Street cleaning,22
Glasgow City,2021-22,10748,11455,Environmental Services,Trading Standards & Env. Health,22
Glasgow City,2021-22,31732,33819,Environmental Services,Waste Collection,22
Glasgow City,2021-22,40471,43133,Environmental Services,Waste Disposal,22
Glasgow City,2021-22,37803,40289,Looked After Children,Community,22
Glasgow City,2021-22,48409,51593,Looked After Children,Residential,22
Glasgow City,2021-22,9661,10296,Planning,Planning,22
Glasgow City,2021-22,32429,34562,Roads,Roads,22
Glasgow City,2021-22,145202,154751,Support Services,Support Services,22
Glasgow City,2021-22,2449956,2611077,Total General Fund,Total General Fund,22
Glasgow City,2022-23,117207,117207,Adult Social Care,Care Homes for Older People,23
Glasgow City,2022-23,87813,87813,Adult Social Care,Homecare,23
Glasgow City,2022-23,304948,304948,Adult Social Care,Other Spend On Over 18s,23
Glasgow City,2022-23,19066,19066,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,23
Glasgow City,2022-23,15536,15536,Culture & Leisure,Libraries,23
Glasgow City,2022-23,19882,19882,Culture & Leisure,Museums & Galleries,23
Glasgow City,2022-23,45849,45849,Culture & Leisure,Sports Facilities,23
Glasgow City,2022-23,76145,76145,Economic Development,Economic Development & Tourism,23
Glasgow City,2022-23,129330,129330,Education,Pre-school,23
Glasgow City,2022-23,278654,278654,Education,Primary,23
Glasgow City,2022-23,266899,266899,Education,Secondary,23
Glasgow City,2022-23,14276,14276,Environmental Services,Street cleaning,23
Glasgow City,2022-23,12227,12227,Environmental Services,Trading Standards & Env. Health,23
Glasgow City,2022-23,32488,32488,Environmental Services,Waste Collection,23
Glasgow City,2022-23,41450,41450,Environmental Services,Waste Disposal,23
Glasgow City,2022-23,38293,38293,Looked After Children,Community,23
Glasgow City,2022-23,49941,49941,Looked After Children,Residential,23
Glasgow City,2022-23,13362,13362,Planning,Planning,23
Glasgow City,2022-23,32963,32963,Roads,Roads,23
Glasgow City,2022-23,152430,152430,Support Services,Support Services,23
Glasgow City,2022-23,2586015,2586015,Total General Fund,Total General Fund,23
Highland,2010-11,35896,46827,Adult Social Care,Care Homes for Older People,11
Highland,2010-11,16862,21997,Adult Social Care,Homecare,11
Highland,2010-11,55182,71986,Adult Social Care,Other Spend On Over 18s,11
Highland,2010-11,5590,7292,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,11
Highland,2010-11,4415,5759,Culture & Leisure,Libraries,11
Highland,2010-11,1357,1770,Culture & Leisure,Museums & Galleries,11
Highland,2010-11,10259,13383,Culture & Leisure,Sports Facilities,11
Highland,2010-11,4092,5338,Economic Development,Economic Development & Tourism,11
Highland,2010-11,9413,12280,Education,Pre-school,11
Highland,2010-11,84946,110814,Education,Primary,11
Highland,2010-11,99507,129810,Education,Secondary,11
Highland,2010-11,3347,4366,Environmental Services,Street cleaning,11
Highland,2010-11,5228,6820,Environmental Services,Trading Standards & Env. Health,11
Highland,2010-11,16404,21399,Environmental Services,Waste Collection,11
Highland,2010-11,12772,16661,Environmental Services,Waste Disposal,11
Highland,2010-11,1469,1916,Looked After Children,Community,11
Highland,2010-11,8513,11105,Looked After Children,Residential,11
Highland,2010-11,7780,10149,Planning,Planning,11
Highland,2010-11,36916,48158,Roads,Roads,11
Highland,2010-11,33801,44094,Support Services,Support Services,11
Highland,2010-11,586011,764468,Total General Fund,Total General Fund,11
Highland,2011-12,35494,45501,Adult Social Care,Care Homes for Older People,12
Highland,2011-12,17250,22113,Adult Social Care,Homecare,12
Highland,2011-12,44470,57008,Adult Social Care,Other Spend On Over 18s,12
Highland,2011-12,5165,6621,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,12
Highland,2011-12,4237,5432,Culture & Leisure,Libraries,12
Highland,2011-12,1346,1725,Culture & Leisure,Museums & Galleries,12
Highland,2011-12,10232,13117,Culture & Leisure,Sports Facilities,12
Highland,2011-12,5519,7075,Economic Development,Economic Development & Tourism,12
Highland,2011-12,9954,12760,Education,Pre-school,12
Highland,2011-12,86817,111294,Education,Primary,12
Highland,2011-12,103897,133189,Education,Secondary,12
Highland,2011-12,3913,5016,Environmental Services,Street cleaning,12
Highland,2011-12,5041,6462,Environmental Services,Trading Standards & Env. Health,12
Highland,2011-12,15962,20462,Environmental Services,Waste Collection,12
Highland,2011-12,12838,16457,Environmental Services,Waste Disposal,12
Highland,2011-12,3528,4523,Looked After Children,Community,12
Highland,2011-12,13260,16998,Looked After Children,Residential,12
Highland,2011-12,6906,8853,Planning,Planning,12
Highland,2011-12,39360,50457,Roads,Roads,12
Highland,2011-12,48717,62452,Support Services,Support Services,12
Highland,2011-12,590565,757066,Total General Fund,Total General Fund,12
Highland,2012-13,32422,40814,Adult Social Care,Care Homes for Older People,13
Highland,2012-13,15593,19629,Adult Social Care,Homecare,13
Highland,2012-13,65913,82973,Adult Social Care,Other Spend On Over 18s,13
Highland,2012-13,6189,7791,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,13
Highland,2012-13,4302,5415,Culture & Leisure,Libraries,13
Highland,2012-13,571,719,Culture & Leisure,Museums & Galleries,13
Highland,2012-13,6550,8245,Culture & Leisure,Sports Facilities,13
Highland,2012-13,4896,6163,Economic Development,Economic Development & Tourism,13
Highland,2012-13,9690,12198,Education,Pre-school,13
Highland,2012-13,84709,106634,Education,Primary,13
Highland,2012-13,101547,127830,Education,Secondary,13
Highland,2012-13,3508,4416,Environmental Services,Street cleaning,13
Highland,2012-13,4884,6148,Environmental Services,Trading Standards & Env. Health,13
Highland,2012-13,15388,19371,Environmental Services,Waste Collection,13
Highland,2012-13,12656,15932,Environmental Services,Waste Disposal,13
Highland,2012-13,4172,5252,Looked After Children,Community,13
Highland,2012-13,14153,17816,Looked After Children,Residential,13
Highland,2012-13,6896,8681,Planning,Planning,13
Highland,2012-13,35722,44968,Roads,Roads,13
Highland,2012-13,53970,67939,Support Services,Support Services,13
Highland,2012-13,597551,752215,Total General Fund,Total General Fund,13
Highland,2013-14,31538,38952,Adult Social Care,Care Homes for Older People,14
Highland,2013-14,17888,22093,Adult Social Care,Homecare,14
Highland,2013-14,66084,81619,Adult Social Care,Other Spend On Over 18s,14
Highland,2013-14,3755,4638,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,14
