Expenditure_Data_Local_Authority,Expenditure_Data_Year,Expenditure_Data_Expenditure_Cash,Expenditure_Data_Expenditure_Real,Expenditure_Data_ServiceAreaAggregate,Expenditure_Data_ServiceAreaBreakdown,Expenditure_Data_YearIndex
Aberdeen City,2015-16,7189,8710,Economic Development,Economic Development & Tourism,16
Aberdeen City,2015-16,16378,19842,Education,Pre-school,16
Aberdeen City,2015-16,67721,82045,Education,Primary,16
Aberdeen City,2015-16,65282,79090,Education,Secondary,16
Aberdeen City,2015-16,1971,2388,Environmental Services,Street cleaning,16
Aberdeen City,2015-16,6083,7370,Environmental Services,Trading Standards & Env. Health,16
Aberdeen City,2015-16,8960,10855,Environmental Services,Waste Collection,16
Aberdeen City,2015-16,16683,20212,Environmental Services,Waste Disposal,16
Aberdeen City,2015-16,11260,13642,Looked After Children,Community,16
Aberdeen City,2015-16,10361,12553,Looked After Children,Residential,16
Aberdeen City,2015-16,4279,5184,Planning,Planning,16
Aberdeen City,2015-16,47749,57849,Roads,Roads,16
Aberdeen City,2015-16,26803,32472,Support Services,Support Services,16
Aberdeen City,2015-16,587396,711642,Total General Fund,Total General Fund,16
Aberdeen City,2016-17,32873,38941,Adult Social Care,Care Homes for Older People,17
Aberdeen City,2016-17,23189,27469,Adult Social Care,Homecare,17
Aberdeen City,2016-17,69271,82057,Adult Social Care,Other Spend On Over 18s,17
Aberdeen City,2016-17,4762,5641,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,17
Aberdeen City,2016-17,4756,5634,Culture & Leisure,Libraries,17
Aberdeen City,2016-17,3449,4086,Culture & Leisure,Museums & Galleries,17
Aberdeen City,2016-17,8642,10237,Culture & Leisure,Sports Facilities,17
Aberdeen City,2016-17,6884,8155,Economic Development,Economic Development & Tourism,17
Aberdeen City,2016-17,18562,21988,Education,Pre-school,17
Aberdeen City,2016-17,67940,80480,Education,Primary,17
Aberdeen City,2016-17,63857,75644,Education,Secondary,17
Aberdeen City,2016-17,2117,2508,Environmental Services,Street cleaning,17
Aberdeen City,2016-17,5806,6878,Environmental Services,Trading Standards & Env. Health,17
Aberdeen City,2016-17,7535,8926,Environmental Services,Waste Collection,17
Aberdeen City,2016-17,16378,19401,Environmental Services,Waste Disposal,17
Aberdeen City,2016-17,11298,13383,Looked After Children,Community,17
Aberdeen City,2016-17,11101,13150,Looked After Children,Residential,17
Aberdeen City,2016-17,4480,5307,Planning,Planning,17
Aberdeen City,2016-17,35259,41767,Roads,Roads,17
Aberdeen City,2016-17,25956,30747,Support Services,Support Services,17
Aberdeen City,2016-17,588822,697505,Total General Fund,Total General Fund,17
Aberdeen City,2017-18,31658,36923,Adult Social Care,Care Homes for Older People,18
Aberdeen City,2017-18,23401,27293,Adult Social Care,Homecare,18
Aberdeen City,2017-18,74011,86320,Adult Social Care,Other Spend On Over 18s,18
Aberdeen City,2017-18,3354,3912,Culture & Leisure,Community Parks & Open Spaces Gross Expenditure,18
Aberdeen City,2017-18,4243,4949,Culture & Leisure,Libraries,18
Aberdeen City,2017-18,3543,4132,Culture & Leisure,Museums & Galleries,18
