LocalAuthority,Code,Year,Indicator,Numerator,Denominator
Aberdeen City,CHN13a,2021-22,0.689011524,,
Aberdeen City,CHN13b,2018-19,0.7754,,
Aberdeen City,CHN13b,2020-21,0.718475559,,
Aberdeen City,CHN13b,2021-22,0.771688017,,
Aberdeen City,CHN14a,2018-19,24.11,,
Aberdeen City,CHN14a,2020-21,30.93069,,
Aberdeen City,CHN14a,2021-22,21.16384381,,
Aberdeen City,CHN14b,2018-19,20.36,,
Aberdeen City,CHN14b,2020-21,27.95513,,
Aberdeen City,CHN14b,2021-22,20.92015854,,
Aberdeen City,CHN17,2013-14,0.9009,,
Aberdeen City,CHN17,2014-15,0.9288,,
Aberdeen City,CHN17,2015-16,0.9513,,
Aberdeen City,CHN17,2016-17,0.918,,
Aberdeen City,CHN17,2017-18,0.933,,
Aberdeen City,CHN17,2018-19,0.9678,,
Aberdeen City,CHN17,2019-20,0.965,,
Aberdeen City,CHN17,2020-21,0.9711,,
Aberdeen City,CHN17,2021-22,0.8729,,
Aberdeen City,CHN18,2010-11,0.911111111,,
Aberdeen City,CHN18,2011-12,0.888888889,,
Aberdeen City,CHN18,2012-13,0.848484848,,
Aberdeen City,CHN18,2013-14,0.89,,
Aberdeen City,CHN18,2014-15,0.896551724,,
Aberdeen City,CHN18,2015-16,0.891566265,,
Aberdeen City,CHN18,2016-17,0.880952381,,
Aberdeen City,CHN18,2017-18,0.861702128,,
Aberdeen City,CHN18,2018-19,0.760869565,,
Aberdeen City,CHN18,2019-20,0.772,,
Aberdeen City,CHN18,2020-21,0.824175824,,
Aberdeen City,CHN18,2021-22,0.836956522,,
Aberdeen City,CHN19a,2010-11,0.93,,
Aberdeen City,CHN19a,2012-13,0.93,,
Aberdeen City,CHN19a,2014-15,0.935,,
Aberdeen City,CHN19a,2016-17,0.936,,
Aberdeen City,CHN19a,2018-19,0.933315,,
Aberdeen City,CHN19a,2020-21,0.93,,
Aberdeen City,CHN19b,2010-11,0.8417,,
Aberdeen City,CHN19b,2012-13,0.8478,,
Aberdeen City,CHN19b,2014-15,0.87,,
Aberdeen City,CHN19b,2016-17,0.8888,,
Aberdeen City,CHN19b,2018-19,0.8849,,
Aberdeen City,CHN19b,2020-21,0.8909,,
Aberdeen City,CHN20a,2010-11,62.09,,
Aberdeen City,CHN20a,2012-13,54,,
Aberdeen City,CHN20a,2014-15,40.7,,
Aberdeen City,CHN20a,2016-17,47.6,,
Aberdeen City,CHN20a,2018-19,52.94,,
Aberdeen City,CHN20b,2010-11,610.39,,
Aberdeen City,CHN20b,2012-13,465.59,,
Aberdeen City,CHN20b,2014-15,288.06,,
Aberdeen City,CHN20b,2016-17,252.4,,
Aberdeen City,CHN20b,2018-19,248.14,,
Aberdeen City,CHN20b,2020-21,76.54,,
Aberdeen City,CHN21,2015-16,0.889,,
Aberdeen City,CHN21,2016-17,0.894,,
Aberdeen City,CHN21,2017-18,0.898,,
Aberdeen City,CHN21,2018-19,0.897196262,,
Aberdeen City,CHN21,2019-20,0.898714331,,
Aberdeen City,CHN21,2020-21,0.894431373,,
Aberdeen City,CHN21,2021-22,0.912227141,,
Aberdeen City,CHN21,2022-23,0.927761628,,
Aberdeen City,CHN22,2012-13,0.0353,,
Aberdeen City,CHN22,2013-14,0.0659,,
Aberdeen City,CHN22,2014-15,0.1069,,
Aberdeen City,CHN22,2015-16,0.0577,,
Aberdeen City,CHN22,2016-17,0.0488,,
Aberdeen City,CHN22,2017-18,0.0267,,
Aberdeen City,CHN22,2018-19,0.0617,,
Aberdeen City,CHN22,2019-20,0.0314,,
Aberdeen City,CHN22,2020-21,0.0219,,
Aberdeen City,CHN22,2021-22,0.1824,,
Aberdeen City,CHN23,2010-11,0.2679,,
Aberdeen City,CHN23,2011-12,0.2678,,
Aberdeen City,CHN23,2012-13,0.2937,,
Aberdeen City,CHN23,2013-14,0.2565,,
Aberdeen City,CHN23,2014-15,0.2532,,
Aberdeen City,CHN23,2015-16,0.2441,,
Aberdeen City,CHN23,2016-17,0.2763,,
Aberdeen City,CHN23,2017-18,0.2168,,
Aberdeen City,CHN23,2018-19,0.2491,,
Aberdeen City,CHN23,2019-20,0.2049,,
Aberdeen City,CHN23,2020-21,0.2117,,
Aberdeen City,CHN23,2021-22,0.188,,
Aberdeen City,CHN24,2014-15,0.187364578,,
Aberdeen City,CHN24,2015-16,0.195150405,,
Aberdeen City,CHN24,2016-17,0.213159695,,
Aberdeen City,CHN24,2017-18,0.22334899,,
Aberdeen City,CHN24,2018-19,0.210834965,,
Aberdeen City,CHN24,2019-20,0.21343936,,
Aberdeen City,CHN24,2020-21,0.183365613,,
Aberdeen City,CHN24,2021-22,0.204886824,,
Aberdeen City,CLIM01,2010-11,7.785857292,,
Aberdeen City,CLIM01,2011-12,7.1986583,,
Aberdeen City,CLIM01,2012-13,7.434419533,,
Aberdeen City,CLIM01,2013-14,7.028082333,,
Aberdeen City,CLIM01,2014-15,6.285209466,,
Aberdeen City,CLIM01,2015-16,6.041893059,,
Aberdeen City,CLIM01,2016-17,5.617889625,,
Aberdeen City,CLIM01,2017-18,5.437024806,,
Aberdeen City,CLIM01,2018-19,5.205525386,,
Aberdeen City,CLIM01,2019-20,5.304227671,,
Aberdeen City,CLIM01,2020-21,4.516258531,,
Aberdeen City,CLIM01,2021-22,4.968706624,,
