,,Chatham Roadside,
Date,Time,Nitrogen dioxide,Status
11/03/2017,20:00:00,24.99064,V ugm-3
11/03/2017,21:00:00,20.51587,V ugm-3
11/03/2017,22:00:00,46.31071,V ugm-3
11/03/2017,23:00:00,65.64656,V ugm-3
11/03/2017,24:00:00,70.45793,V ugm-3
12/03/2017,01:00:00,57.83272,V ugm-3
12/03/2017,02:00:00,30.01605,V ugm-3
12/03/2017,03:00:00,38.28968,V ugm-3
12/03/2017,04:00:00,48.8572,V ugm-3
12/03/2017,05:00:00,24.81182,V ugm-3
12/03/2017,06:00:00,45.58539,V ugm-3
12/03/2017,07:00:00,45.42713,V ugm-3
12/03/2017,08:00:00,41.5285,V ugm-3
12/03/2017,09:00:00,39.85937,V ugm-3
12/03/2017,10:00:00,43.59066,V ugm-3
12/03/2017,11:00:00,40.6258,V ugm-3
12/03/2017,12:00:00,33.97556,V ugm-3
12/03/2017,13:00:00,29.65283,V ugm-3
12/03/2017,14:00:00,38.15724,V ugm-3
12/03/2017,15:00:00,44.60285,V ugm-3
12/03/2017,16:00:00,52.76731,V ugm-3
12/03/2017,17:00:00,56.83185,V ugm-3
12/03/2017,18:00:00,47.06328,V ugm-3
12/03/2017,19:00:00,29.11829,V ugm-3
12/03/2017,20:00:00,31.76184,V ugm-3
12/03/2017,21:00:00,33.59402,V ugm-3
12/03/2017,22:00:00,31.02027,V ugm-3
12/03/2017,23:00:00,27.19193,V ugm-3
12/03/2017,24:00:00,10.8018,V ugm-3
13/03/2017,01:00:00,11.71534,V ugm-3
13/03/2017,02:00:00,10.63733,V ugm-3
13/03/2017,03:00:00,8.37484,V ugm-3
13/03/2017,04:00:00,8.57374,V ugm-3
13/03/2017,05:00:00,11.16996,V ugm-3
13/03/2017,06:00:00,20.43602,V ugm-3
13/03/2017,07:00:00,38.30116,V ugm-3
13/03/2017,08:00:00,54.315,V ugm-3
13/03/2017,09:00:00,43.59448,V ugm-3
13/03/2017,10:00:00,24.33991,V ugm-3
13/03/2017,11:00:00,21.62177,V ugm-3
13/03/2017,12:00:00,30.6043,V ugm-3
13/03/2017,13:00:00,33.13215,V ugm-3
13/03/2017,14:00:00,42.01428,V ugm-3
13/03/2017,15:00:00,47.90765,V ugm-3
13/03/2017,16:00:00,72.38,V ugm-3
13/03/2017,17:00:00,79.42326,V ugm-3
13/03/2017,18:00:00,75.0814,V ugm-3
13/03/2017,19:00:00,76.06395,V ugm-3
13/03/2017,20:00:00,70.17202,V ugm-3
13/03/2017,21:00:00,58.588,V ugm-3
13/03/2017,22:00:00,52.83855,V ugm-3
13/03/2017,23:00:00,43.42236,V ugm-3
13/03/2017,24:00:00,36.18498,V ugm-3
14/03/2017,01:00:00,32.57051,V ugm-3
14/03/2017,02:00:00,20.89343,V ugm-3
14/03/2017,03:00:00,16.51013,V ugm-3
14/03/2017,04:00:00,15.79534,V ugm-3
14/03/2017,05:00:00,14.62489,V ugm-3
14/03/2017,06:00:00,27.81636,V ugm-3
14/03/2017,07:00:00,34.87635,V ugm-3
14/03/2017,08:00:00,50.49478,V ugm-3
14/03/2017,09:00:00,46.1099,V ugm-3
14/03/2017,10:00:00,31.94879,V ugm-3
14/03/2017,11:00:00,36.49751,V ugm-3
14/03/2017,12:00:00,39.58158,V ugm-3
14/03/2017,13:00:00,31.50892,V ugm-3
14/03/2017,14:00:00,31.24643,V ugm-3
14/03/2017,15:00:00,34.16729,V ugm-3
14/03/2017,16:00:00,42.50436,V ugm-3
14/03/2017,17:00:00,51.0977,V ugm-3
14/03/2017,18:00:00,58.82707,V ugm-3
14/03/2017,19:00:00,61.05943,V ugm-3
14/03/2017,20:00:00,63.63318,V ugm-3
14/03/2017,21:00:00,46.61671,V ugm-3
14/03/2017,22:00:00,46.1644,V ugm-3
14/03/2017,23:00:00,39.8608,V ugm-3
14/03/2017,24:00:00,30.68941,V ugm-3
15/03/2017,01:00:00,24.16253,V ugm-3
15/03/2017,02:00:00,18.19871,V ugm-3
15/03/2017,03:00:00,15.58114,V ugm-3
15/03/2017,04:00:00,12.98109,V ugm-3
15/03/2017,05:00:00,15.45396,V ugm-3
15/03/2017,06:00:00,30.00713,V ugm-3
15/03/2017,07:00:00,28.46183,V ugm-3
15/03/2017,08:00:00,39.57441,V ugm-3
15/03/2017,09:00:00,45.55575,V ugm-3
15/03/2017,10:00:00,44.95283,V ugm-3
15/03/2017,11:00:00,34.68845,V ugm-3
15/03/2017,12:00:00,31.31097,V ugm-3
15/03/2017,13:00:00,31.74654,V ugm-3
15/03/2017,14:00:00,35.55672,V ugm-3
15/03/2017,15:00:00,31.28611,V ugm-3
15/03/2017,16:00:00,37.59258,V ugm-3
15/03/2017,17:00:00,36.88208,V ugm-3
15/03/2017,18:00:00,53.71256,V ugm-3
15/03/2017,19:00:00,35.48644,V ugm-3
15/03/2017,20:00:00,40.69035,V ugm-3
15/03/2017,21:00:00,30.85054,V ugm-3
15/03/2017,22:00:00,23.49841,V ugm-3
15/03/2017,23:00:00,22.02292,V ugm-3
15/03/2017,24:00:00,16.05353,V ugm-3
16/03/2017,01:00:00,14.33929,V ugm-3
16/03/2017,02:00:00,14.96723,V ugm-3
16/03/2017,03:00:00,13.77765,V ugm-3
16/03/2017,04:00:00,14.34375,V ugm-3
16/03/2017,05:00:00,13.0399,V ugm-3
16/03/2017,06:00:00,18.80848,V ugm-3
16/03/2017,07:00:00,48.68173,V ugm-3
16/03/2017,08:00:00,51.24018,V ugm-3
16/03/2017,09:00:00,53.91959,V ugm-3
16/03/2017,10:00:00,43.59018,V ugm-3
16/03/2017,11:00:00,27.82974,V ugm-3
16/03/2017,12:00:00,No data,V ugm-3
