LocalAuthority,IndicatorCode,Year,IndicatorCash_LA,NumeratorCash_LA,DenominatorCash_LA
Aberdeen City,CHN05,2019-20,0.36,,
Aberdeen City,CHN05,2020-21,0.37,,
Aberdeen City,CHN05,2021-22,0.39,,
Aberdeen City,CHN06,2011-12,0.16,,
Aberdeen City,CHN06,2012-13,0.24,,
Aberdeen City,CHN06,2013-14,0.22,,
Aberdeen City,CHN06,2014-15,0.22,,
Aberdeen City,CHN06,2015-16,0.33,,
Aberdeen City,CHN06,2016-17,0.30,,
Aberdeen City,CHN06,2017-18,0.29,,
Aberdeen City,CHN06,2018-19,0.32,,
Aberdeen City,CHN06,2019-20,0.37,,
Aberdeen City,CHN06,2020-21,0.43,,
Aberdeen City,CHN06,2021-22,0.48,,
Aberdeen City,CHN07,2011-12,0.05,,
Aberdeen City,CHN07,2012-13,0.05,,
Aberdeen City,CHN07,2013-14,0.08,,
Aberdeen City,CHN07,2014-15,0.07,,
Aberdeen City,CHN07,2015-16,0.14,,
Aberdeen City,CHN07,2016-17,0.09,,
Aberdeen City,CHN07,2017-18,0.10,,
Aberdeen City,CHN07,2018-19,0.09,,
Aberdeen City,CHN07,2019-20,0.14,,
Aberdeen City,CHN07,2020-21,0.17,,
Aberdeen City,CHN07,2021-22,0.13,,
Aberdeen City,CHN08a,2010-11,2914.49,8487.00,56.00
Aberdeen City,CHN08a,2011-12,2915.04,8337.00,55.00
Aberdeen City,CHN08a,2012-13,2882.87,8245.00,55.00
Aberdeen City,CHN08a,2013-14,2680.21,8641.00,62.00
Aberdeen City,CHN08a,2014-15,3040.71,9487.00,60.00
Aberdeen City,CHN08a,2015-16,3018.94,10361.00,66.00
Aberdeen City,CHN08a,2016-17,3139.42,11101.00,68.00
Aberdeen City,CHN08a,2017-18,3720.53,11995.00,62.00
Aberdeen City,CHN08a,2018-19,5921.19,15703.00,51.00
Aberdeen City,CHN08a,2019-20,3271.75,10378.00,61.00
Aberdeen City,CHN08a,2020-21,4084.01,12105.00,57.00
Aberdeen City,CHN08a,2021-22,4158.39,11893.00,55.00
Aberdeen City,CHN08b,2010-11,254.76,7763.00,586.00
Aberdeen City,CHN08b,2011-12,277.83,7946.00,550.00
Aberdeen City,CHN08b,2012-13,341.86,9795.00,551.00
Aberdeen City,CHN08b,2013-14,400.11,10715.00,515.00
Aberdeen City,CHN08b,2014-15,420.56,10694.00,489.00
Aberdeen City,CHN08b,2015-16,444.64,11260.00,487.00
Aberdeen City,CHN08b,2016-17,416.22,11298.00,522.00
Aberdeen City,CHN08b,2017-18,495.77,12555.00,487.00
Aberdeen City,CHN08b,2018-19,554.32,14153.00,491.00
Aberdeen City,CHN08b,2019-20,543.19,14236.00,504.00
Aberdeen City,CHN08b,2020-21,612.74,14593.00,458.00
Aberdeen City,CHN08b,2021-22,634.25,14017.00,425.00
Aberdeen City,CHN09,2010-11,0.91,,
Aberdeen City,CHN09,2011-12,0.91,,
Aberdeen City,CHN09,2012-13,0.91,,
Aberdeen City,CHN09,2013-14,0.89,,
Aberdeen City,CHN09,2014-15,0.89,,
Aberdeen City,CHN09,2015-16,0.88,,
Aberdeen City,CHN09,2016-17,0.88,,
Aberdeen City,CHN09,2017-18,0.89,,
Aberdeen City,CHN09,2018-19,0.91,,
Aberdeen City,CHN09,2019-20,0.89,,
Aberdeen City,CHN09,2020-21,0.89,,
Aberdeen City,CHN09,2021-22,0.89,,
Aberdeen City,CHN10,2010-14,0.73,,
Aberdeen City,CHN10,2012-15,0.71,,
Aberdeen City,CHN10,2013-16,0.69,,
Aberdeen City,CHN10,2014-17,0.69,,
Aberdeen City,CHN10,2015-18,0.67,,
Aberdeen City,CHN10,2016-19,0.67,,
Aberdeen City,CHN10,2017-20,0.68,,
Aberdeen City,CHN10,2018-21,0.70,,
Aberdeen City,CHN10,2019-22,0.71,,
Aberdeen City,CHN11,2011-12,0.89,,
Aberdeen City,CHN11,2012-13,0.91,,
Aberdeen City,CHN11,2013-14,0.92,,
Aberdeen City,CHN11,2014-15,0.91,,
Aberdeen City,CHN11,2015-16,0.91,,
Aberdeen City,CHN11,2016-17,0.91,,
Aberdeen City,CHN11,2017-18,0.92,,
Aberdeen City,CHN11,2018-19,0.94,,
Aberdeen City,CHN11,2019-20,0.90,,
Aberdeen City,CHN11,2020-21,0.95,,
Aberdeen City,CHN11,2021-22,0.94,,
Aberdeen City,CHN12a,2011-12,775.48,,
Aberdeen City,CHN12a,2012-13,764.30,,
Aberdeen City,CHN12a,2013-14,782.89,,
Aberdeen City,CHN12a,2014-15,808.36,,
Aberdeen City,CHN12a,2015-16,806.82,,
Aberdeen City,CHN12a,2016-17,821.06,,
Aberdeen City,CHN12a,2017-18,841.21,,
Aberdeen City,CHN12a,2018-19,827.50,,
Aberdeen City,CHN12a,2019-20,849.31,,
Aberdeen City,CHN12a,2020-21,866.19,,
Aberdeen City,CHN12a,2021-22,957.26,,
Aberdeen City,CHN12b,2011-12,367.00,,
Aberdeen City,CHN12b,2012-13,439.00,,
Aberdeen City,CHN12b,2013-14,430.00,,
Aberdeen City,CHN12b,2014-15,413.00,,
Aberdeen City,CHN12b,2015-16,510.00,,
Aberdeen City,CHN12b,2016-17,463.00,,
Aberdeen City,CHN12b,2017-18,447.00,,
Aberdeen City,CHN12b,2018-19,439.00,,
Aberdeen City,CHN12b,2019-20,511.00,,
Aberdeen City,CHN12b,2020-21,578.00,,
Aberdeen City,CHN12b,2021-22,571.00,,
Aberdeen City,CHN12c,2011-12,482.00,,
Aberdeen City,CHN12c,2012-13,478.00,,
Aberdeen City,CHN12c,2013-14,492.00,,
Aberdeen City,CHN12c,2014-15,538.00,,
Aberdeen City,CHN12c,2015-16,544.00,,
Aberdeen City,CHN12c,2016-17,613.00,,
Aberdeen City,CHN12c,2017-18,592.00,,
Aberdeen City,CHN12c,2018-19,603.00,,
Aberdeen City,CHN12c,2019-20,585.00,,
Aberdeen City,CHN12c,2020-21,616.00,,
Aberdeen City,CHN12c,2021-22,700.00,,
Aberdeen City,CHN12d,2011-12,615.00,,
Aberdeen City,CHN12d,2012-13,598.00,,
Aberdeen City,CHN12d,2013-14,686.00,,
Aberdeen City,CHN12d,2014-15,659.00,,
Aberdeen City,CHN12d,2015-16,695.00,,
Aberdeen City,CHN12d,2016-17,621.00,,
Aberdeen City,CHN12d,2017-18,795.00,,
Aberdeen City,CHN12d,2018-19,706.00,,
Aberdeen City,CHN12d,2019-20,722.00,,
Aberdeen City,CHN12d,2020-21,758.00,,
Aberdeen City,CHN12d,2021-22,833.00,,
Aberdeen City,CHN12e,2011-12,888.00,,
Aberdeen City,CHN12e,2012-13,826.00,,
Aberdeen City,CHN12e,2013-14,877.00,,
Aberdeen City,CHN12e,2014-15,929.00,,
Aberdeen City,CHN12e,2015-16,903.00,,
Aberdeen City,CHN12e,2016-17,953.00,,
Aberdeen City,CHN12e,2017-18,917.00,,
Aberdeen City,CHN12e,2018-19,861.00,,
Aberdeen City,CHN12e,2019-20,875.00,,
Aberdeen City,CHN12e,2020-21,879.00,,
Aberdeen City,CHN12e,2021-22,953.00,,
Aberdeen City,CHN12f,2011-12,1069.00,,
Aberdeen City,CHN12f,2012-13,1062.00,,
Aberdeen City,CHN12f,2013-14,1041.00,,
Aberdeen City,CHN12f,2014-15,1119.00,,
Aberdeen City,CHN12f,2015-16,1083.00,,
Aberdeen City,CHN12f,2016-17,1083.00,,
Aberdeen City,CHN12f,2017-18,1104.00,,
Aberdeen City,CHN12f,2018-19,1089.00,,
Aberdeen City,CHN12f,2019-20,1157.00,,
Aberdeen City,CHN12f,2020-21,1150.00,,
Aberdeen City,CHN12f,2021-22,1226.00,,
Aberdeen City,CHN13a,2018-19,0.71,,
Aberdeen City,CHN13a,2020-21,0.63,,
Aberdeen City,CHN13a,2021-22,0.69,,
Aberdeen City,CHN13b,2018-19,0.78,,
Aberdeen City,CHN13b,2020-21,0.72,,
Aberdeen City,CHN13b,2021-22,0.77,,
Aberdeen City,CHN14a,2018-19,24.11,,
Aberdeen City,CHN14a,2020-21,30.93,,
Aberdeen City,CHN14a,2021-22,21.16,,
Aberdeen City,CHN14b,2018-19,20.36,,
Aberdeen City,CHN14b,2020-21,27.96,,
Aberdeen City,CHN14b,2021-22,20.92,,
Aberdeen City,CHN17,2013-14,0.90,,
Aberdeen City,CHN17,2014-15,0.93,,
Aberdeen City,CHN17,2015-16,0.95,,
Aberdeen City,CHN17,2016-17,0.92,,
Aberdeen City,CHN17,2017-18,0.93,,
Aberdeen City,CHN17,2018-19,0.97,,
Aberdeen City,CHN17,2019-20,0.97,,
Aberdeen City,CHN17,2020-21,0.97,,
Aberdeen City,CHN17,2021-22,0.87,,
Aberdeen City,CHN18,2010-11,0.91,,
Aberdeen City,CHN18,2011-12,0.89,,
Aberdeen City,CHN18,2012-13,0.85,,
Aberdeen City,CHN18,2013-14,0.89,,
Aberdeen City,CHN18,2014-15,0.90,,
Aberdeen City,CHN18,2015-16,0.89,,
Aberdeen City,CHN18,2016-17,0.88,,
Aberdeen City,CHN18,2017-18,0.86,,
Aberdeen City,CHN18,2018-19,0.76,,
Aberdeen City,CHN18,2019-20,0.77,,
Aberdeen City,CHN18,2020-21,0.82,,
Aberdeen City,CHN18,2021-22,0.84,,
Aberdeen City,CHN19a,2010-11,0.93,,
Aberdeen City,CHN19a,2012-13,0.93,,
Aberdeen City,CHN19a,2014-15,0.94,,
Aberdeen City,CHN19a,2016-17,0.94,,
Aberdeen City,CHN19a,2018-19,0.93,,
Aberdeen City,CHN19a,2020-21,0.93,,
Aberdeen City,CHN19b,2010-11,0.84,,
Aberdeen City,CHN19b,2012-13,0.85,,
Aberdeen City,CHN19b,2014-15,0.87,,
Aberdeen City,CHN19b,2016-17,0.89,,
Aberdeen City,CHN19b,2018-19,0.88,,
Aberdeen City,CHN19b,2020-21,0.89,,
Aberdeen City,CHN20a,2010-11,62.09,,
Aberdeen City,CHN20a,2012-13,54.00,,
Aberdeen City,CHN20a,2014-15,40.70,,
Aberdeen City,CHN20a,2016-17,47.60,,
Aberdeen City,CHN20a,2018-19,52.94,,
Aberdeen City,CHN20b,2010-11,610.39,,
Aberdeen City,CHN20b,2012-13,465.59,,
Aberdeen City,CHN20b,2014-15,288.06,,
Aberdeen City,CHN20b,2016-17,252.40,,
Aberdeen City,CHN20b,2018-19,248.14,,
Aberdeen City,CHN20b,2020-21,76.54,,
Aberdeen City,CHN21,2015-16,0.89,,
Aberdeen City,CHN21,2016-17,0.89,,
